,pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
0,898.0,1061,20.0,18.3,0.0,1.0,-0.0,-1.0,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
1,873.0,1305,22.2,15.2,298.0,4.0,3.5317903714357084,-1.8778862511435617,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
2,850.0,1537,21.8,13.8,240.0,7.0,6.0621778264910695,3.500000000000003,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
3,814.0,1913,21.0,8.0,279.0,7.0,6.913818384165964,-1.0950412552816147,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
4,791.0,2160,18.4,11.4,305.0,6.0,4.914912265733951,-3.4414586181062763,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
5,700.0,3197,11.6,5.6,55.0,5.0,-4.095760221444959,-2.8678821817552302,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
6,653.0,3774,7.2,3.4,59.0,7.0,-6.000171104914786,-3.605266524370379,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
7,635.0,4003,6.0,1.0,60.0,8.0,-6.928203230275509,-4.000000000000001,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
8,626.0,4120,5.8,-16.2,61.0,8.0,-6.996957657115166,-3.878476961970697,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
9,595.0,4533,3.6,-29.4,63.0,10.0,-8.910065241883679,-4.539904997395468,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
10,591.0,4587,3.0,-26.0,64.0,10.0,-8.98794046299167,-4.383711467890775,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
11,587.0,4642,2.4,-6.6,64.0,11.0,-9.886734509290838,-4.822082614679852,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
12,582.0,4711,2.4,-20.6,65.0,11.0,-9.96938565740315,-4.648800879147694,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
13,578.0,4766,1.9,-15.7,65.0,11.0,-9.96938565740315,-4.648800879147694,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
14,569.0,4893,0.6,-4.4,89.0,13.0,-12.998020037033086,-0.22688128368468677,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
15,565.0,4949,0.4,-4.5,100.0,14.0,-13.787308542170912,2.4310744873370242,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
16,556.0,5078,0.0,-4.7,86.0,13.0,-12.968332653377715,-0.906834158673628,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
17,552.0,5136,-0.2,-7.9,80.0,13.0,-12.802500789158705,-2.2574263096700955,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
18,544.0,5252,-0.5,-14.5,77.0,12.0,-11.692440777422823,-2.6994126521263793,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
19,535.0,5385,-1.5,-8.5,73.0,12.0,-11.475657071556425,-3.5084604566728412,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
20,531.0,5445,-1.7,-11.7,72.0,11.0,-10.461621679246688,-3.399186938124422,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
21,514.0,5702,-3.6,-9.0,65.0,10.0,-9.063077870366499,-4.2261826174069945,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
22,500.0,5920,-5.3,-6.7,80.0,8.0,-7.878462024097664,-1.3891854213354433,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
23,492.0,6047,-6.1,-6.6,85.0,9.0,-8.96575228282571,-0.7844016847289232,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
24,480.0,6241,-6.5,-17.5,92.0,11.0,-10.993299097210054,0.3838944637275105,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
25,476.0,6307,-7.1,-13.1,95.0,12.0,-11.954336377100947,1.0458689129718988,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
26,460.0,6574,-7.7,-33.7,105.0,15.0,-14.488887394336025,3.882285676537813,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
